Product,Price,Description,quantity
Wireless Mouse,15.99,"A sleek, ergonomic mouse.",1
Bluetooth Speaker,29.99,Portable with clear sound.,3
USB-C Cable,7.49,Fast charging and durable.,7
Gaming Keyboard,49.99,RGB lighting and mechanical keys.,7
Webcam,25.99,1080p with built-in mic.,7
Power Bank,19.99,"10,000mAh, compact design.",7
Smartwatch,99.99,Fitness tracking and notifications.,7
Noise Cancelling Headphones,79.99,Over-ear and comfortable.,7
Laptop Stand,34.99,Adjustable height and angle.,7
External Hard Drive,59.99,"1TB storage, USB 3.0.",7
mouse,10.00,es un mause argentino,7
